bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
2,1,240000,90,1,2666,Jumeirah Lake Towers
5,5,2040000,585,0,3487,The Villa
4,3,552000,188,0,2936,The Valley
5,4,6000000,493,1,12170,Jumeirah Islands
4,4,1272000,175,1,7268,Jumeirah Beach Residence
2,1,480000,77,0,6233,Dubai Marina
4,3,1989600,185,0,10754,Bluewaters
1,1,1005600,85,0,11830,Bluewaters
5,5,7560000,845,0,8946,Jumeirah Golf Estates
1,0,144000,37,1,3891,DAMAC Hills
4,3,8322000,392,0,21229,Palm Jumeirah
2,2,187200,106,0,1766,Al Ghadeer
1,0,190080,40,1,4752,Jumeirah Village Triangle
2,2,612000,103,1,5941,Dubai Creek Harbour (The Lagoons)
3,3,840000,141,0,5957,Dubai Creek Harbour (The Lagoons)
1,0,118800,35,0,3394,Al Reem Island
1,0,156000,36,0,4333,Arjan
4,2,1440000,162,1,8888,City Walk
1,1,376799,76,0,4957,Downtown Dubai
2,2,328800,101,0,3255,Al Reem Island
3,2,333600,130,0,2566,Dubai Marina
4,2,2064000,178,0,11595,Jumeirah Beach Residence
5,4,816000,215,0,3795,Dubai Land
2,2,1080000,98,1,11020,Downtown Dubai
1,0,300000,66,0,4545,Jumeirah Beach Residence
4,4,2544000,687,0,3703,Jumeirah Golf Estates
1,1,950400,76,0,12505,Dubai Harbour
4,3,1512000,158,1,9569,Dubai Harbour
7,6,2136000,449,0,4757,Damac Lagoons
6,5,7199976,571,0,12609,Jumeirah Islands
2,2,684000,154,0,4441,DIFC
2,1,456000,105,0,4342,DIFC
3,3,624000,173,1,3606,The Valley
2,2,720000,191,1,3769,DIFC
3,2,479999,154,0,3116,Jumeirah Lake Towers
3,2,431997,141,1,3063,DAMAC Hills
5,5,720000,322,0,2236,Damac Lagoons
4,3,540000,180,0,3000,Dubai South (Dubai World Central)
2,2,240000,86,0,2790,Town Square
6,5,9600000,800,0,12000,Dubai Hills Estate
4,3,828000,162,0,5111,Nad Al Sheba
2,1,372000,74,0,5027,Mohammed Bin Rashid City
1,1,167760,50,0,3355,Al Reem Island
4,3,528000,185,0,2854,Dubai South (Dubai World Central)
2,2,768000,112,0,6857,Jumeirah
2,1,408000,74,0,5513,Nad Al Sheba
3,2,696000,139,0,5007,Nad Al Sheba
1,1,336000,44,0,7636,Dubai Hills Estate
1,1,516000,72,0,7166,City Walk
7,5,2108400,537,0,3926,Saadiyat Island
1,0,109200,49,1,2228,Dubai South (Dubai World Central)
5,3,456000,174,0,2620,Damac Hills 2
3,3,696000,221,0,3149,Reem
2,2,780000,102,0,7647,Dubai Creek Harbour (The Lagoons)
6,5,5760000,783,0,7356,Palm Jebel Ali
5,4,720000,236,0,3050,Reem
2,3,1870800,308,0,6074,Arabian Ranches
2,1,228000,57,0,4000,Jumeirah Village Circle
2,1,264000,75,0,3520,Jumeirah Village Circle
6,5,6600000,653,0,10107,Dubai Hills Estate
2,2,936000,129,0,7255,Saadiyat Island
1,0,203919,34,0,5997,Meydan
2,1,285600,76,0,3757,Discovery Gardens
2,1,312000,99,1,3151,Al Jaddaf
2,1,546000,96,0,5687,Jumeirah Lake Towers
1,1,312000,54,1,5777,Meydan
3,4,516000,211,0,2445,Damac Lagoons
5,4,1152000,309,0,3728,Mudon
5,4,5040000,414,0,12173,Jumeirah
5,5,3480000,633,0,5497,Tilal Al Ghaf
6,5,2808000,505,0,5560,Jumeirah Park
3,2,852000,154,0,5532,City Walk
2,2,852000,134,0,6358,Downtown Dubai
4,3,1836000,189,0,9714,Downtown Dubai
2,1,237600,64,1,3712,Jumeirah Lake Towers
3,2,888000,136,1,6529,Downtown Dubai
3,3,1248000,261,0,4781,Dubai Hills Estate
1,0,159600,37,0,4313,Dubai Studio City
4,4,792000,269,0,2944,Dubai Land
1,0,110400,46,1,2400,Dubai Production City (IMPZ)
2,1,336000,85,0,3952,Dubai Marina
4,3,672000,189,0,3555,Arabian Ranches 3
6,4,960000,434,0,2211,Reem
1,1,720000,67,1,10746,Dubai Harbour
5,4,1080000,307,0,3517,Jumeirah Golf Estates
4,5,5280000,705,0,7489,Dubai Hills Estate
1,1,146133,40,1,3653,DAMAC Hills
5,4,1248000,316,0,3949,Tilal Al Ghaf
2,2,528000,95,0,5557,Dubai Hills Estate
4,3,1440000,264,0,5454,Arabian Ranches
6,5,2940000,380,0,7736,Meadows
6,4,1440000,388,1,3711,DAMAC Hills
3,3,1260000,314,0,4012,Nad Al Sheba
7,6,3840000,631,0,6085,Jumeirah Park
2,1,324000,80,0,4050,Jumeirah Village Circle
4,3,1176000,301,0,3906,Arabian Ranches 2
3,2,3840000,212,0,18113,Palm Jumeirah
3,2,504000,130,1,3876,Jumeirah Lake Towers
4,3,648000,202,0,3207,Arabian Ranches 3
6,4,888000,345,0,2573,Jumeirah Village Circle
1,1,710400,79,0,8992,Dubai Harbour
1,1,288000,46,0,6260,Dubai Hills Estate
5,4,3408000,282,0,12085,Jumeirah Beach Residence
5,4,17640000,729,0,24197,Palm Jumeirah
3,2,936000,101,0,9267,City Walk
5,4,1872000,445,0,4206,Al Barari
6,4,1152000,405,1,2844,Jumeirah Village Circle
6,4,15600000,680,0,22941,Palm Jumeirah
2,1,720000,91,1,7912,Downtown Dubai
7,5,4680000,930,0,5032,Nad Al Sheba
1,1,768000,85,0,9035,Jumeirah Beach Residence
2,1,504000,77,0,6545,Downtown Dubai
3,4,2760000,380,0,7263,Meadows
